- If you played less than 15 games (15*90 minutes) between 11 December and 3 February then you won't be shown here.,,,,
- However your rating could still change up to a tenth up or down.,,,,
- No decays this time. So inactive players (0 games) ratings won't change. Only this time though.,,,,
- Rating system will never be perfect. Whether it's based on algorithm or opinion. ,,,,
- Ratings are based on a combination of match results and individual performance metrics.,,,,
"- Don't base your (potential) signing(s) on ratings. It's dumb. Yes, I said it.",,,,
23508,pedro,8.2,7.9,0.3
67468,Classify,8.1,8.3,-0.2
9833,sebi,8.1,8.1,0
343,Noah,8.1,8.2,-0.1
8396,wreaty,8.1,8.1,0
467,borgar,8.1,8.1,0
13058,carti,8.1,8,0.1
180,Beenit,8.1,8.1,0
72351,ZolO,8.1,7.9,0.2
430,DraexxSau,8.1,8,0.1
25644,Zealtix,8,8.1,-0.1
23638,alberteg,8,8,0
8443,mr_pickles,8,7.8,0.2
8199,Myrex,8,8,0
29618,Eric,8,7.9,0.1
3364,Smithie,8,7.9,0.1
8,Janir,8,7.7,0.3
23460,Berie,8,7.9,0.1
213,Bullet,8,7.9,0.1
10702,GW,8,7.7,0.3
99176,Ashborn,8,7.9,0.1
450,Nkz,7.9,8.1,-0.2
32623,DemZo,7.9,7.8,0.1
178,lemon,7.9,7.9,0
618,Tiago,7.9,7.9,0
214,zlatan,7.9,7.9,0
7,Nuri,7.9,8,-0.1
105371,Prime chocolate,7.9,7.9,0
9951,McMouse,7.9,7.9,0
495,denneh,7.9,7.8,0.1
8179,xDfseeee,7.9,7.8,0.1
10121,Frazer,7.9,7.9,0
21806,jacob,7.9,7.9,0
54328,ulli,7.9,7.9,0
9501,Lazo,7.9,7.7,0.2
42695,zundron,7.9,7.8,0.1
35998,tosneaky,7.9,7.9,0
27771,CheezyChips,7.9,7.9,0
38099,Remek,7.9,7.8,0.1
16761,Pato,7.8,8,-0.2
357,Stazz,7.8,7.9,-0.1
14021,ster,7.8,7.7,0.1
188,Maaby,7.8,7.8,0
29327,Kim,7.8,7.8,0
8253,chaps,7.8,7.7,0.1
15407,Mbumbi,7.8,7.8,0
11499,losJakubos,7.8,7.6,0.2
276,Mionel Yessi,7.8,7.7,0.1
10458,Fisk,7.8,7.7,0.1
29657,Lyneestar,7.8,7.7,0.1
21260,snek,7.7,7.9,-0.2
356,Parrot-,7.7,7.8,-0.1
336,Toni Bald,7.7,7.6,0.1
27002,snow.,7.7,7.7,0
57515,extra,7.7,7.5,0.2
293,Samdana,7.7,7.7,0
10013,Mefik,7.7,7.6,0.1
54490,valya,7.7,7.5,0.2
418,doo,7.7,7.6,0.1
108039,Endrick,7.6,7.7,-0.1
10391,Zamba,7.6,7.7,-0.1
203,MasterD,7.6,7.7,-0.1
62734,Kribabe,7.6,7.5,0.1
27099,Adam,7.6,7.6,0
36121,Wex,7.6,7.6,0
3201,Brodrick,7.6,7.6,0
170,Maximiano,7.6,7.5,0.1
8181,Filipovič,7.6,7.5,0.1
668,trabajador,7.6,7.6,0
457,Krythx,7.6,7.6,0
33046,Đenqty,7.6,7.5,0.1
51372,Nazario,7.6,7.3,0.3
37019,v1ce,7.6,7.4,0.2
98602,rum,7.6,7.6,0
14920,Clique,7.5,7.5,0
2494,catdeyemi,7.5,7.4,0.1
17777,OLX,7.5,7.5,0
193,NICHT,7.5,7.6,-0.1
27149,Tomas,7.5,7.5,0
598,St.Rolexx :j,7.5,7.5,0
452,Simao,7.5,7.4,0.1
33097,Big Shaq,7.5,7.4,0.1
28486,leber,7.4,7.6,-0.2
22324,pmz,7.4,7.4,0
13699,Neyrex,7.4,7.3,0.1
8989,Kevin de Bruyne,7.4,7.4,0
8852,AlexdeSouza,7.4,7.4,0
36146,c4terrr!,7.4,7.5,-0.1
32619,Wolfie169,7.4,7.3,0.1
52659,chicken burger,7.3,7.4,-0.1
11331,Prezzo,7.3,7.4,-0.1
65031,Genzo,7.3,7.1,0.2
9198,mane,7.3,7.4,-0.1
42186,unseen,7.3,7.3,0
453,Hern,7.3,7.4,-0.1
39467,Pablow,7.3,7.3,0
374,k1eran01,7.3,7.3,0
9936,skuza,7.3,7.3,0
34635,quper,7.3,7.4,-0.1
547,Latote,7.3,7.4,-0.1
11017,Sam,7.3,7,0.3
16818,thiccappo,7.3,7.4,-0.1
55149,Stoic,7.3,6.9,0.4
63699,taZ,7.3,7.2,0.1
11431,mick,7.3,7.2,0.1
99012,feddy,7.3,7.2,0.1
108217,solo,7.3,7.1,0.2
10439,Traumatik,7.3,7.1,0.2
56022,Rampage,7.3,7.2,0.1
54683,NiNaTo,7.2,6.9,0.3
686,zapdos,7.2,7.1,0.1
15286,Wish,7.2,7.1,0.1
6042,ObiWan #23,7.2,7,0.2
10339,Matr1x,7.2,7.1,0.1
8084,nuGen,7.2,7.2,0
32128,Nyurles,7.1,7.2,-0.1
176,srv,7.1,7.1,0
14617,s1mu,7.1,7.1,0
55434,azzioo,7.1,7.1,0
31082,BUSTI,7.1,7,0.1
111417,RenT,7.1,7.4,-0.3
54545,Nxvid,7.1,6.9,0.2
61388,L14M,7.1,7,0.1
18657,Naberius,7.1,7.1,0
13119,Alexxx,7.1,7.1,0
15,kz,7.1,7.1,0
20495,Fm,7.1,7.1,0
65095,Mase,7.1,7,0.1
419,Marksken,7.1,7,0.1
383,tesro,7.1,7,0.1
21096,Targuet,7.1,7.1,0
9553,SnZy,7.1,7,0.1
13366,fr1s,7.1,7,0.1
37556,king.,7,7.1,-0.1
57418,tanner,7,7.3,-0.3
8583,Slave,7,7.1,-0.1
103583,redkillz,7,7.1,-0.1
1289,R,7,7.1,-0.1
49739,UltimaIC,7,6.7,0.3
31833,hidan,7,7,0
13955,Zurna,7,7.1,-0.1
43302,Trupoy,7,7,0
520,Fallen,7,7.1,-0.1
21617,daniel,7,7,0
3384,Kae,7,7.1,-0.1
353,Donaldo,7,6.9,0.1
66780,Tobi,7,7,0
62836,Deltazz,7,6.7,0.3
13905,PINGUS,7,6.9,0.1
23826,xiDylan99,7,7,0
378,KiingZz,7,7,0
57511,markus,7,7,0
11029,jay,7,6.8,0.2
25919,lewis,7,6.9,0.1
9020,squid,7,6.9,0.1
46066,Jota,7,6.8,0.2
12873,Medo,7,7,0
45888,shlongus.,7,6.9,0.1
62426,Pedroukukuk,7,6.7,0.3
16170,Il'Danych,7,6.7,0.3
51260,paaland,7,6.8,0.2
48263,Byku,7,6.8,0.2
9118,fonser,7,6.8,0.2
104975,styxfora,7,6.6,0.4
63706,kapa,7,6.8,0.2
360,Batt,6.9,6.9,0
57649,lyminz,6.9,7,-0.1
41648,Matty,6.9,6.9,0
479,Medus,6.9,6.9,0
320,Larchie,6.9,6.9,0
10201,rayan,6.9,6.9,0
8219,sane,6.9,6.9,0
35662,Nuqqet,6.9,6.8,0.1
13685,goo,6.9,7,-0.1
62725,sensible amgad,6.9,6.7,0.2
117209,dabbackwood,6.9,6.7,0.2
39570,xibouya,6.9,6.7,0.2
8210,MaximGM,6.9,6.8,0.1
31574,Minion,6.9,6.6,0.3
189,Alim,6.8,7,-0.2
47584,kham,6.8,6.9,-0.1
9382,eulw,6.8,6.9,-0.1
13481,Gabi,6.8,6.9,-0.1
380,Blaze,6.8,6.9,-0.1
18642,Andris,6.8,6.8,0
25959,vlatce,6.8,6.8,0
32627,fincelo,6.8,6.8,0
16785,De Jong,6.8,6.8,0
8642,hammo,6.8,6.8,0
192,Joshua19,6.8,6.8,0
12933,primepick,6.8,6.6,0.2
8945,DefensiveNeo,6.8,6.8,0
11215,sheepey,6.8,6.7,0.1
36902,GielPais,6.7,6.8,-0.1
27162,nkr-,6.7,6.8,-0.1
9895,xoxo,6.7,6.8,-0.1
10898,Myaaarwin Nunez,6.7,7,-0.3
17636,flaqzam,6.7,6.9,-0.2
19884,SoRa,6.7,6.7,0
8559,Nas,6.7,6.7,0
29284,r$dvy,6.7,6.6,0.1
376,Neralbo,6.7,6.8,-0.1
6674,Vagg,6.7,6.7,0
369,NightFlame,6.7,6.7,0
26079,RiQu,6.7,6.8,-0.1
40151,flossy,6.7,6.8,-0.1
22341,Abo Kevin,6.7,6.7,0
12438,Geo,6.7,6.9,-0.2
60190,Skii,6.7,6.5,0.2
11263,jordan,6.7,6.4,0.3
62834,aranyadecueva,6.7,6.6,0.1
61051,cadet,6.6,6.8,-0.2
34186,degen,6.6,6.6,0
14829,Caesi,6.6,6.6,0
72221,Hugo,6.6,6.6,0
323,-Gambit`,6.6,6.6,0
31285,Asahi,6.6,6.6,0
21312,Malteser,6.6,6.7,-0.1
469,Mavers,6.6,6.5,0.1
4054,inchill,6.6,6.7,-0.1
35347,bekolegend,6.6,6.5,0.1
28941,alek,6.6,6.6,0
119854,videhh,6.6,6.3,0.3
169,Sneaky,6.6,6.5,0.1
31461,Arma Gedon,6.6,6.6,0
33318,robica,6.6,6.6,0
10770,DudeMan,6.6,6.5,0.1
118490,Tourus48,6.6,6.5,0.1
8001,CODAX,6.6,6.6,0
317,Max \(^w^)/,6.6,6.6,0
75036,vincenchus,6.6,6.4,0.2
13737,ellu,6.6,6.6,0
43209,DraZy,6.6,6.6,0
10768,antoin semenyo,6.6,6.5,0.1
86549,xRaiku,6.6,6.5,0.1
33531,Curripipi,6.6,6.4,0.2
38143,Macarrones,6.6,6.3,0.3
62297,Shards,6.6,6.5,0.1
32051,n1x,6.6,6.5,0.1
15828,Dolos,6.6,6.5,0.1
13173,pw,6.6,6.5,0.1
99234,sandie,6.6,6.4,0.2
35039,snake,6.6,6.4,0.2
63461,Specx,6.5,6.6,-0.1
12710,MAMADOU,6.5,6.5,0
39925,Mladen,6.5,6.5,0
35790,Exo,6.5,6.5,0
54984,washed eman,6.5,6.5,0
29307,Szpont,6.5,6.5,0
86425,SuRend,6.5,6.5,0
70876,HydroGen,6.5,6.4,0.1
21608,Henriq,6.5,6.4,0.1
78264,rafael,6.5,6.5,0
14011,ReZide,6.5,6.3,0.2
44742,klor,6.5,6.5,0
20497,nokia angel,6.5,6.7,-0.2
35295,Araujo,6.5,6.5,0
35813,zeke,6.5,6.2,0.3
72241,flamwell,6.5,6.4,0.1
8981,fram.,6.5,6.4,0.1
72355,Khaled,6.5,6.6,-0.1
8912,LimeTurtle67,6.5,6.5,0
29074,kanzekl,6.5,6.4,0.1
337,Pikary,6.5,6.4,0.1
64679,starfruit,6.5,6.4,0.1
39844,luvvpo,6.5,6.4,0.1
81956,Flo,6.5,6.4,0.1
21776,Pavol,6.5,6.5,0
56983,playboi farti,6.5,6.4,0.1
22816,Beer,6.5,6.4,0.1
104855,Masu,6.5,6.4,0.1
5,Wilmots,6.5,6.6,-0.1
57364,mLN,6.5,6.4,0.1
122892,Maicon,6.5,6,0.5
99053,imjust2perfectt,6.5,6.4,0.1
88946,TodorLabuda.,6.5,6.4,0.1
33253,iniesta,6.5,6.4,0.1
58814,Dagon,6.5,6.4,0.1
32195,Min1Peka,6.5,6.4,0.1
57465,el_gomitas,6.5,6.4,0.1
350,Justlexx,6.5,6.4,0.1
3754,FYRMIL,6.5,6.4,0.1
8405,Cian,6.5,6.4,0.1
108054,kbpw,6.5,6.4,0.1
296,Puyol,6.5,6.4,0.1
10978,Rexx,6.4,6.4,0
14111,Soqueres,6.4,6.4,0
175,Sujiro,6.4,6.5,-0.1
96391,Rusty Car,6.4,6.2,0.2
55965,Mr.A,6.4,6.4,0
48209,Cafune,6.4,6.4,0
62006,Marcelo,6.4,6.4,0
22653,Thirtyno,6.4,6.4,0
37143,Acientyzz,6.4,6.4,0
86522,jon snow,6.4,6.4,0
63949,Gerappa,6.4,6.5,-0.1
119944,NAJM,6.4,6.4,0
355,Zizou,6.4,6.4,0
51172,Jairzinho,6.4,6.4,0
55127,Matys [Snus],6.4,6.5,-0.1
56231,Didi,6.4,6.2,0.2
13291,exaz2k,6.4,6.4,0
50362,Casillas,6.4,6.4,0
52635,Dopyxl,6.4,6.3,0.1
14112,Ginge,6.4,6.1,0.3
22713,Lazar,6.4,6.4,0
71032,99pas,6.4,6.4,0
58500,! R i N,6.4,6.4,0
33163,VaLlEgOaT,6.4,6.4,0
18670,pacci,6.4,6.4,0
342,Nino,6.4,6.4,0
123101,Ango,6.4,6,0.4
63822,Aiku,6.4,6.4,0
53393,SPEED,6.4,6.4,0
18001,time,6.4,6.4,0
53847,ejmen,6.4,6.4,0
29539,Bach,6.4,6.4,0
62585,𝓥𝓞1𝓓(G.Hagi),6.4,6.4,0
98838,McNeil,6.4,6.4,0
16562,safonov,6.4,6.6,-0.2
29499,wafo,6.4,6.4,0
47534,Riise,6.4,6.4,0
66957,Franco Portofino,6.4,6.4,0
105147,wurst,6.4,6.4,0
28838,gangsterdos,6.4,6.4,0
34181,dlorz,6.4,6.4,0
24018,SyRoX,6.4,6.4,0
9492,Hawke,6.4,6.4,0
28637,Lyubo,6.4,6.4,0
47819,hectormbtx,6.4,6.4,0
11508,Captain Cuddles,6.4,6.4,0
16,ericFM,6.4,6.4,0
17782,ibanez,6.4,6.3,0.1
19675,Bucijast,6.4,6.3,0.1
112838,Jutt.,6.4,6.4,0
13236,gunna,6.4,6.4,0
33215,omg1v1pls,6.4,6.4,0
92912,Road to NT,6.4,6.4,0
123178,STR,6.4,6.1,0.3
60877,barella,6.4,6.4,0
57528,MagicTurtle,6.4,6.4,0
51704,MAINZAA,6.4,6.4,0
54788,LaBeLo,6.4,6.5,-0.1
51378,W7Y,6.4,6.4,0
20494,creeperkon68,6.4,6.3,0.1
15981,Rayan ait Nouri,6.4,6.4,0
1691,Drogba,6.4,6.4,0
119875,Bandit LaLaLa !,6.4,6,0.4
79414,smx,6.4,6.4,0
115426,hasenzahn,6.4,6,0.4
36563,GP,6.4,6.3,0.1
3342,Raptor,6.4,6,0.4
56982,Agem,6.4,6.3,0.1
115784,russ,6.4,6,0.4
10194,flas,6.3,6.3,0
22746,suss1,6.3,6.2,0.1
12096,Sakira,6.3,6.2,0.1
23506,chuk,6.3,6.2,0.1
29282,K.,6.3,6.3,0
410,Geva,6.3,6.2,0.1
62594,Laughing,6.3,6.2,0.1
98676,RENDM,6.3,6.1,0.2
57957,AlvarozZ,6.2,6.2,0
122934,Lee,6.2,6,0.2
31875,Maldini,6.2,6.1,0.1
125732,cartiergod,6.2,6,0.2
20986,tookeypower,6.2,6.2,0
122889,dani,6.2,6,0.2
98160,𝐅𝐀𝐊𝐄 𝐗𝐀𝐕,6.2,6.2,0
37233,... 1 half,6.2,6.1,0.1
297,Bobby,6.2,6,0.2
27129,N.MAHLUF,6.2,6.1,0.1
127117,TomFordery,6.2,6,0.2
48167,Beibi,6.2,6.1,0.1
1991,Hammels,6.2,6.1,0.1
22753,Brexit Barry,6.2,6,0.2
130136,Asy,6.2,6,0.2
102237,jxxrios,6.2,5.7,0.5
6847,inosi,6.1,6.2,-0.1
117024,X¹,6.1,6,0.1
125550,Popichii,6.1,6,0.1
129812,Asy,6.1,6,0.1
121202,SIRBIGS,6.1,6,0.1
62308,Alperen,6.1,6,0.1
126944,include228,6.1,6,0.1
105404,Marc Ter Stegen,6.1,5.9,0.2
58755,Coby,6.1,6,0.1
123076,blessed6,6,6,0
122482,CameraGuy,6,6,0
121025,S H O C K W A V,6,6,0
86408,Saif,6,6,0
125836,RODRYGO,6,6,0
114202,Victor,6,6,0
62938,kekulote,6,6,0
124363,K,6,6,0
6790,aday,6,6,0
76381,Rodri,6,6,0
63810,Raden,6,5.9,0.1
102230,Nebula,5.9,6,-0.1
107858,A.Taarabt,5.9,6,-0.1
62887,Javier Puadown,5.9,6,-0.1
123144,Nemba_Xx,5.9,6,-0.1
125617,VADIM (Akinfeev),5.9,6,-0.1
125679,KolyaXXL,5.9,6,-0.1
125687,BANITOOO,5.9,6,-0.1
129842,BRTM,5.9,6,-0.1
122617,arturinho,5.9,5.9,0
127016,DoFlamingo,5.9,6,-0.1
103571,Willplays08,5.9,5.8,0.1
53818,Plug099,5.9,5.7,0.2
122685,magano,5.8,5.9,-0.1
6675,Karavakis,5.8,5.7,0.1
118378,Kojiro,5.7,5.8,-0.1
18994,promotemurder,5.7,5.7,0
125661,Hawk,5.6,6,-0.4
86256,Saw,5.6,5.5,0.1
